Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
MyLoanCare,Gurgaon,credit,Leading Online Loans Marketplace in India,949650.0,Series A,2018,Finance
PayMe India,Noida,financial services,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,29220.0,Seed,2018,Finance
Eunimart,Hyderabad,e-commerce platforms,Eunimart is a one stop solution for merchants to create a difference by selling globally.,1512135.0,Seed,2018,Commerce
Hasura,Bengaluru,cloud infrastructure,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",23376.0,Seed,2018,Technology
Tripshelf,Kalkaji,internet,Tripshelf is an online market place for holiday packages.,233760.0,Seed,2018,Technology
Hyperdata.IO,Hyderabad,market research,Hyperdata combines advanced machine learning with human intelligence.,730500.0,Seed,2018,Business Intelligence
Freightwalla,Mumbai,information services,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,1512135.0,Seed,2018,Business Intelligence
Microchip Payments,Bangalore,mobile payments,Microchip payments is a mobile-based payment application and point-of-sale device,1512135.0,Seed,2018,Finance
BizCrum Infotech Pvt. Ltd.,Delhi,b2b,Building Transactionary B2B Marketplaces,1512135.0,Seed,2018,Commerce
Emojifi,Bengaluru,internet,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",1512135.0,Seed,2018,Technology
